Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary ,Required_Education,Experience_Required(Years),Job_Openings(2024),Projected_Openings (2030),Remot_Work_Ratio(%),Automation_Risk(%),Location,Gender_Diversity(%)
Investment analyst,IT,Increasing,Moderate," $42,109.76 ",Master? Degree,5,1515,6342,55.96,28.28,UK,44.63
"Journalist, newspaper",Manufacturing,Increasing,Moderate," $1,32,298.57 ",Master? Degree,15,1243,6205,16.81,89.71,USA,66.39
Financial planner,Finance,Increasing,Low," $1,43,279.19 ",Bachelor? Degree,4,3338,1154,91.82,72.97,Canada,41.13
Legal secretary,Healthcare,Increasing,High," $97,576.13 ",Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76
Aeronautical engineer,IT,Increasing,Low," $60,956.63 ",Master? Degree,13,5944,7396,53.76,37.65,Germany,72.57
"Surveyor, insurance",Manufacturing,Decreasing,High," $1,47,150.03 ",High School,7,9738,4360,30.51,7.08,UK,20.14
Dentist,Entertainment,Decreasing,High," $64,245.48 ",Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27
Emergency planning/management officer,Education,Increasing,High," $72,488.15 ",High School,12,7729,4452,38.77,99.56,Australia,60.56
Visual merchandiser,Manufacturing,Decreasing,Moderate," $95,840.30 ",Associate Degree,16,1127,2375,4.29,69.03,China,48.19
Housing manager/officer,Entertainment,Decreasing,High," $1,14,672.30 ",High School,12,2800,7964,94.02,20.19,UK,31.9
"Geologist, wellsite",Entertainment,Increasing,Moderate," $1,16,427.68 ",PhD,7,1852,3700,32.89,5.54,Australia,56.02
"Runner, broadcasting/film/video",Healthcare,Decreasing,Moderate," $43,059.04 ",PhD,2,1824,7625,55.6,13.12,Australia,27.5
Press photographer,Entertainment,Decreasing,Moderate," $1,37,894.14 ",Master? Degree,3,8312,9700,59.95,95.76,India,56.06
"Biochemist, clinical",Entertainment,Increasing,Moderate," $67,908.84 ",Master? Degree,2,1872,5314,93.9,3.19,China,74.67
Town planner,Retail,Decreasing,High," $1,07,318.63 ",Associate Degree,11,7251,1090,15.25,55.15,UK,23.99
"Engineer, civil (consulting)",Healthcare,Decreasing,Moderate," $1,01,322.09 ",Associate Degree,17,1044,8832,12.92,64.18,India,56.12
Audiological scientist,Transportation,Increasing,Low," $1,09,546.76 ",Master? Degree,8,5379,8913,82.13,80.62,UK,38.87
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,High," $1,42,660.31 ",Master? Degree,2,2377,7307,4.29,16.88,India,56.57
Music therapist,Education,Increasing,High," $1,22,569.29 ",High School,4,2661,5588,88.17,26.8,India,34.19
Advertising copywriter,Retail,Decreasing,High," $1,22,668.89 ",Bachelor? Degree,14,7291,7469,65.94,7.14,Brazil,74.45
Commercial horticulturist,Education,Decreasing,Low," $60,874.45 ",Associate Degree,14,5892,369,43.78,95.96,UK,56.8
Secondary school teacher,Finance,Increasing,Moderate," $49,705.11 ",PhD,4,5398,3531,20.77,60.11,Germany,49.88
"Production assistant, radio",Healthcare,Increasing,Low," $59,923.23 ",High School,1,8039,3829,55.19,48.57,China,78.99
Armed forces technical officer,Retail,Increasing,Moderate," $52,060.54 ",PhD,13,8317,9078,84.29,29.58,India,53.79
Youth worker,Retail,Decreasing,Moderate," $1,10,077.96 ",Master? Degree,18,4286,8248,24.27,20.75,USA,67.62
Special effects artist,Education,Decreasing,Moderate," $1,02,393.43 ",PhD,0,348,5612,86.55,18.51,India,48.47
Ceramics designer,Transportation,Increasing,High," $73,318.63 ",Associate Degree,11,1473,8555,41.11,57.59,Brazil,32.69
Animal technologist,Transportation,Decreasing,Moderate," $72,953.11 ",Master? Degree,3,1464,6938,54.24,1.9,Canada,44.82
Firefighter,IT,Increasing,Low," $34,082.78 ",High School,4,2163,6734,87.31,90.32,Canada,48.98
Charity fundraiser,Education,Increasing,High," $41,523.13 ",Bachelor? Degree,2,7568,9624,23.23,63.1,India,38.94
Jewellery designer,Retail,Increasing,High," $62,229.93 ",High School,15,3369,3297,87.85,21.83,Canada,43.89
Ecologist,IT,Decreasing,Moderate," $1,06,122.32 ",Associate Degree,17,5407,4631,43.99,4.91,India,42.53
Operations geologist,Entertainment,Increasing,High," $1,42,549.39 ",High School,5,7635,3586,8.59,70.67,USA,26.25
Patent attorney,Entertainment,Increasing,Low," $76,323.91 ",Associate Degree,18,1334,2198,12.72,21.4,China,32.51
Media buyer,Transportation,Decreasing,Low," $79,665.42 ",PhD,20,1527,5198,76.29,41.06,China,69.95
Tour manager,Finance,Increasing,High," $1,21,435.00 ",Associate Degree,5,6840,6963,1.36,93.49,UK,26.05
Higher education careers adviser,Finance,Increasing,Low," $1,24,663.97 ",Master? Degree,9,7445,9354,53.86,35.94,UK,75.44
Fitness centre manager,Transportation,Increasing,Moderate," $41,067.95 ",Bachelor? Degree,20,3104,7299,98.89,59.01,UK,69.5
Immunologist,IT,Decreasing,Low," $1,48,115.70 ",PhD,2,7341,8522,33.47,71.87,India,20.75
Contracting civil engineer,Finance,Increasing,High," $38,486.99 ",PhD,12,9860,1304,17.25,72.21,Canada,55.07
Surgeon,Healthcare,Increasing,High," $35,799.45 ",PhD,2,6281,447,55.15,87.52,Brazil,37.04
Environmental consultant,Transportation,Decreasing,Low," $54,495.60 ",Associate Degree,20,1830,3231,11.48,48.54,India,39.11
"Engineer, electrical",Manufacturing,Increasing,Low," $65,875.53 ",PhD,3,7659,7989,31.94,31.73,Brazil,58.24
"Surveyor, commercial/residential",IT,Decreasing,Low," $60,038.64 ",Bachelor? Degree,0,3922,327,52.4,88.22,India,26.59
Customer service manager,Finance,Increasing,Low," $50,955.44 ",Bachelor? Degree,20,2523,2066,74.75,76.44,Australia,79.71
Microbiologist,Entertainment,Decreasing,Moderate," $1,13,064.81 ",Bachelor? Degree,6,5766,1439,77.68,47.32,Germany,30.38
Secretary/administrator,Retail,Increasing,Low," $97,806.70 ",Master? Degree,4,1437,272,24.61,60.71,USA,28.52
Armed forces operational officer,Finance,Increasing,Moderate," $1,02,858.12 ",High School,20,2105,7045,42.29,10.19,USA,20.25
"Therapist, horticultural",Healthcare,Decreasing,Moderate," $82,449.59 ",PhD,11,8459,4383,19.56,46.59,Australia,30.99
Architect,Healthcare,Increasing,Low," $1,47,313.07 ",Bachelor? Degree,16,7292,2487,0.79,61.68,Germany,26.25
"Engineer, structural",Education,Increasing,High," $77,792.33 ",Bachelor? Degree,7,7836,6700,71.9,36.73,Australia,63.61
Trade union research officer,IT,Decreasing,High," $82,029.69 ",Master? Degree,8,3144,3121,55.22,98.23,Brazil,60.82
Radio producer,Finance,Increasing,Moderate," $1,05,560.54 ",Master? Degree,20,7406,3389,68.35,19.84,Brazil,48.26
Primary school teacher,Manufacturing,Decreasing,High," $1,37,071.80 ",High School,0,1171,8644,74.87,52.54,India,60.76
Site engineer,Finance,Increasing,Moderate," $50,632.02 ",Master? Degree,1,1868,6591,85.62,30.27,Australia,26.77
Electrical engineer,Manufacturing,Increasing,Moderate," $88,804.87 ",Bachelor? Degree,2,5614,3475,66.17,5.43,Germany,53.48
Armed forces logistics/support/administrative officer,Retail,Decreasing,Low," $1,13,965.96 ",Associate Degree,11,2103,3229,38.63,48.58,Germany,53.01
"Programmer, systems",Finance,Increasing,Low," $1,31,852.51 ",High School,9,1876,5623,20.29,7.3,UK,22.67
Archivist,Finance,Decreasing,High," $33,072.25 ",Master? Degree,7,2569,1514,83.28,83.87,Germany,52.41
Tourist information centre manager,Retail,Increasing,High," $46,195.73 ",Associate Degree,8,7005,8436,8.68,89.63,Brazil,77.46
Occupational therapist,Manufacturing,Increasing,Moderate," $82,210.61 ",PhD,20,7442,8558,47.66,20.84,Brazil,57.67
General practice doctor,Transportation,Increasing,High," $94,118.58 ",PhD,0,4069,5391,99.88,21.59,USA,37.47
Air cabin crew,Retail,Decreasing,Low," $96,498.83 ",Master? Degree,10,815,1655,50.9,46.38,USA,74.62
"Therapist, art",Retail,Decreasing,Moderate," $74,424.16 ",PhD,5,622,2406,47.96,53.24,USA,53.94
"Lighting technician, broadcasting/film/video",Education,Decreasing,High," $76,301.45 ",Bachelor? Degree,5,9510,9086,86.47,57.29,China,43.21
Herbalist,Manufacturing,Increasing,High," $1,06,276.67 ",Master? Degree,11,813,2546,95.92,50.01,India,64.31
Technical brewer,Education,Decreasing,Moderate," $1,14,843.48 ",PhD,12,9965,2903,91.98,43.49,Brazil,46.01
Water engineer,Entertainment,Decreasing,Moderate," $33,122.25 ",Bachelor? Degree,4,187,8383,21.9,8.62,USA,28.55
Clothing/textile technologist,Finance,Decreasing,Moderate," $1,28,177.18 ",Master? Degree,12,7678,5185,22.6,54.03,Brazil,33.84
Cabin crew,Retail,Decreasing,High," $93,530.19 ",Associate Degree,15,4742,4747,92.46,19.9,UK,53.04
